coverage,method,psnr_full,scenario,t_frame
,B0a-R,30.520305238822704,dropouts,14.0
,B0a-R,30.59602319896369,dropouts,15.0
,B0a-R,30.48953594791783,dropouts,16.0
,B0a-R,30.509988766831853,dropouts,17.0
,B0a-R,30.42978314711992,dropouts,18.0
,B0a-R,30.278821235507234,dropouts,19.0
,B0a-R,30.3655400468521,dropouts,20.0
,B0a-R,30.431301891145996,dropouts,21.0
,B0a-R,29.207154368638555,dropouts,22.0
,B0a-R,30.51271058812928,dropouts,23.0
,B0a-R,30.691187468208017,dropouts,24.0
,B0a-R,30.730450915359004,dropouts,25.0
,B0a-R,30.642348289448876,dropouts,26.0
,B0a-R,30.557328417309325,dropouts,27.0
,B0a-R,30.495508273181684,dropouts,28.0
,B0a-R,30.475216048498524,dropouts,29.0
